Model,Learning Rate,Scheduler,Optimizer,Num Epochs,Test Loss,Precision,Recall,F1 Score,IoU,Total Target Buildings,Total Predicted Buildings,Total Successfully Identified Buildings,Average IoU Per Building,Overall Success Building Rate (%),Overall Error Building Rate (%)
UNet,0.0001,CosineAnnealingWarmRestarts,Adam,120,0.3849280148744583,0.7880010328580449,0.7529977446935104,0.7682407714357384,0.6251588299206773,15306,15770,10907,0.5992089305731259,0.7125963674376061,0.3083703233988586
UNetPlusPlus,0.0001,CosineAnnealingWarmRestarts,Adam,120,0.4227598190307617,0.7205086809822897,0.8013542365072143,0.7581833148149395,0.6123991504350099,15306,13825,8925,0.5173999086924663,0.5831046648373187,0.35443037974683544
U2Net,0.0001,CosineAnnealingWarmRestarts,Adam,120,0.5071437954902649,0.7939118937520291,0.6012782274397597,0.6745326499132422,0.5135717425463285,15306,15001,8808,0.527338409179259,0.5754606036848294,0.41283914405706285
UNet,0.0001,CosineAnnealingWarmRestarts,Adam,120,0.3922203540802002,0.7760212028603134,0.7625915478590691,0.766510132377481,0.6223167066004924,15306,14567,10045,0.5707608794062443,0.6562785835620019,0.3104276790004805
UNet,0.0001,CosineAnnealingWarmRestarts,Adam,20,0.35698007941246035,0.8049455855088112,0.7664470690297138,0.7831593730977456,0.6443767636078904,15306,16403,11294,0.6107552213519765,0.7378805697112244,0.31146741449734805
UNet,0.0001,CosineAnnealingWarmRestarts,Adam,40,0.336062054336071,0.8349913059248099,0.7535235095216646,0.7901812205806856,0.6539866648982798,15306,15868,11606,0.6237262774786974,0.758264732784529,0.2685908747164104
UNetPlusPlus,0.0001,CosineAnnealingWarmRestarts,Adam,30,0.3542599231004715,0.8014837855985929,0.7732184789632375,0.7857957736081114,0.6480732193506237,15306,14685,10561,0.589457090306874,0.6899908532601594,0.2808307797071842
